Timestamp,Irradiance (W/m²),Temp (°C),Humidity (%),Rain (mm),Wind (m/s)
2021-06-01 00:00,0,29.83,82.21,0,2.11
2021-06-01 01:00,5.98,29.6,76.7,0,2.28
2021-06-01 02:00,20.94,30.98,78.66,0,1.68
2021-06-01 03:00,4.43,31.97,78.25,0,2.13
2021-06-01 04:00,0,29.53,80.94,0,2.81
2021-06-01 05:00,6.78,30.37,82.69,0,1.42
2021-06-01 06:00,56.88,26.07,71.17,0,1.73
2021-06-01 07:00,245.13,30.17,73.67,0,2.0
2021-06-01 08:00,444.75,33.47,67.77,0,3.46
2021-06-01 09:00,563.62,35.22,54.16,0,2.77
2021-06-01 10:00,769.15,35.16,68.04,0,2.91
2021-06-01 11:00,944.19,38.46,54.4,0,4.21
2021-06-01 12:00,610.66,34.7,46.91,0,4.36
2021-06-01 13:00,990.43,37.38,48.39,0,4.19
2021-06-01 14:00,727.98,37.76,48.25,0,3.2
2021-06-01 15:00,792.88,35.48,54.47,0,3.96
2021-06-01 16:00,619.62,32.77,52.57,0,2.82
2021-06-01 17:00,395.26,34.47,65.8,0,3.06
2021-06-01 18:00,203.09,33.7,64.05,0,3.25
2021-06-01 19:00,65.77,31.96,88.12,0,2.03
2021-06-01 20:00,2.07,29.23,71.23,0,2.09
2021-06-01 21:00,14.69,31.03,63.74,0,2.7
2021-06-01 22:00,0,29.06,77.99,0,3.41
2021-06-01 23:00,0,32.04,75.32,0,1.95
2021-06-02 00:00,0,30.33,70.74,0,2.82
Timestamp,Irradiance (W/m²),Temp (°C),Humidity (%),Rain (mm),Wind (m/s)
2021-06-01 00:00,0,29.83,82.21,0,2.11
2021-06-01 01:00,5.98,29.6,76.7,0,2.28
2021-06-01 02:00,20.94,30.98,78.66,0,1.68
2021-06-01 03:00,4.43,31.97,78.25,0,2.13
2021-06-01 04:00,0,29.53,80.94,0,2.81
2021-06-01 05:00,6.78,30.37,82.69,0,1.42
2021-06-01 06:00,56.88,26.07,71.17,0,1.73
2021-06-01 07:00,245.13,30.17,73.67,0,2.0
2021-06-01 08:00,444.75,33.47,67.77,0,3.46
2021-06-01 09:00,563.62,35.22,54.16,0,2.77
2021-06-01 10:00,769.15,35.16,68.04,0,2.91
2021-06-01 11:00,944.19,38.46,54.4,0,4.21
2021-06-01 12:00,610.66,34.7,46.91,0,4.36
2021-06-01 13:00,990.43,37.38,48.39,0,4.19
2021-06-01 14:00,727.98,37.76,48.25,0,3.2
